ID,Name,Learning preference,Assessment 1,Assessment 2,Quiz 1,Quiz 2,Beginner lecture 1,Beginner lecture 2,Beginner lecture 3,Medium lecture 1,Medium lecture 2,Medium lecture 3,Advanced lecture 1,Advanced lecture 2,Advanced lecture 3,Beginner lesson 1,Beginner lesson 2,Beginner lesson 3,Medium lesson 1,Medium lesson 2,Medium lesson 3,Advanced lesson 1,Advanced lesson 2,Advanced lesson 3,Beginner hands-on 1,Beginner hands-on 2,Beginner hands-on 3,Medium hands-on 1,Medium hands-on 2,Medium hands-on 3,Advanced hands-on 1,Advanced hands-on 2,Advanced hands-on 3,Overall Score,Overall Performance
01HNCCSMCM0WVM5TQZKKYCGHZB,Delmore Olivetti,Kinesthetic,83,68,3,20,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,69.6,Average
01HNCCSMCNQ0CBP940JKBTNEW6,Horatio De Minico,Auditory,46,1,1,10,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,23.200000000000003,Poor
01HNCCSMCQ6HSG7JYFXD4G6R4P,Carlin Diglin,Kinesthetic,58,51,4,21,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,53.6,Average
01HNCCSMCR9PW939CW30B7B807,Kial Lanbertoni,Kinesthetic,11,58,17,24,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,44.0,Poor
01HNCCSMCTW0GDT73GCBJM5N5V,Caty Hagstone,Kinesthetic,99,83,23,24,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,91.6,Excellent
01HNCCSMCW3HXH9HQ9WTXYMAHJ,Irving Younie,Auditory,89,90,11,24,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,85.6,Excellent
01HNCCSMCYDN9FFSXXSBGEW8NR,Farlay Durek,Kinesthetic,14,96,22,17,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,59.6,Average
01HNCCSMCZZT7C92HNZZ5CP903,Rollin Prettyman,Auditory,23,74,10,16,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,49.2,Poor
01HNCCSMD1M2V5Q166XBR98VE9,Camile Lepope,Visual,31,87,18,4,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,56.00000000000001,Average
01HNCCSMD25D9YPVG60E3BEMFF,Shanta Paolinelli,Kinesthetic,26,11,23,16,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,30.4,Poor
01HNCCSMD4ARQ223DKM3SA04KW,Randolf Abriani,Kinesthetic,87,17,21,2,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,50.8,Average
01HNCCSMD6SGBWHP69BA5TPH7J,Shurlocke Geddis,Visual,95,13,15,15,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,55.2,Average
01HNCCSMD9A9YNN7YYYKRYF570,Tucky Dyble,Kinesthetic,32,1,23,22,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,31.2,Poor
01HNCCSMDDRYKF2JR1YWQTS7WK,Odilia Hovert,Visual,65,74,13,18,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,68.0,Average
01HNCCSMDG15AF488EBYFAMXJF,Hashim Iannello,Visual,32,96,3,10,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,56.39999999999999,Average
01HNCCSMDKRQC1FMHVRVTXJS3K,Eldon McClure,Visual,49,76,22,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,58.8,Average
01HNCCSMDPBH5707GYNWJS96Z9,Bernhard Riddall,Auditory,92,66,5,18,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,72.39999999999999,Good
01HNCCSMDTYSRDTJWQDG59J36C,Ertha Ginni,Auditory,71,33,24,5,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,53.2,Average
01HNCCSMDXM2D2EKYFCXJBZED1,Sibyl Hardwidge,Kinesthetic,0,23,6,17,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,18.4,Poor
01HNCCSMDYX7KTW0B4MRKSMAK8,Gaile Carrier,Auditory,81,11,3,10,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,42.0,Poor
01HNCCSME05A36GS1V8K1GJ79K,Jeane Gonnely,Kinesthetic,46,38,15,22,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,48.4,Poor
01HNCCSME4F1XNGB9GR7HRQJT5,Nissy Trundle,Kinesthetic,19,61,21,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,40.8,Poor
01HNCCSME6DJ857FQJQKW9YEK3,Matthaeus Klesel,Visual,10,38,10,14,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,28.8,Poor
01HNCCSME74RFKJT7EB4Q9SBF1,Jilli Sturch,Visual,50,60,19,25,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,61.6,Average
01HNCCSME9RA5X59NJXKXFXJGC,Evangelin Brinkman,Auditory,18,88,0,12,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,47.2,Poor
01HNCCSMECZGHR70BC93B7MAGS,Janina Rodge,Auditory,81,51,12,22,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,66.4,Average
01HNCCSMEDAEXR350F1JXHS2Q4,Denney Crouch,Visual,68,74,8,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,60.0,Average
01HNCCSMEFG7B5V07RYHNE2M0J,Nester Lohoar,Visual,34,64,5,22,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,50.0,Average
01HNCCSMEH3BPSJH29SBY2WPCE,Emmit Fitzharris,Auditory,83,72,11,21,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,74.8,Good
01HNCCSMEJ74THCSGY0M3R1FD2,Tod Sherreard,Visual,81,88,25,11,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,82.0,Good
01HNCCSMEKKA2T9P2ZH8KBE227,Isabella Sewill,Kinesthetic,28,30,15,25,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,39.2,Poor
01HNCCSMEPGV9BFC444Z78B1A0,Eli Kettle,Auditory,85,90,14,17,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,82.39999999999999,Good
01HNCCSMES50J8HD5YV47GCSMB,Roseann Critchlow,Kinesthetic,71,59,11,12,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,61.2,Average
01HNCCSMEWE9HK9HA68A2WE66P,Leicester Brabham,Auditory,1,35,11,7,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,21.6,Poor
01HNCCSMEYYPVJKYG5ZF0VQH46,Leroy MacGaughie,Auditory,57,83,19,3,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,64.8,Average
01HNCCSMF0AC292FZVXZ4BNB96,Tobye Annandale,Kinesthetic,17,84,18,24,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,57.2,Average
01HNCCSMF2FTPKYR7PBQZ0K4ZV,Yoshi Putson,Visual,94,52,3,17,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,66.4,Average
01HNCCSMF42EVE4F7Q7BBFKREK,Ivette Kenningham,Kinesthetic,35,48,15,18,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,46.400000000000006,Poor
01HNCCSMF6WGRNPAWEJJC22S3S,Ginevra Stopforth,Kinesthetic,24,80,16,13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,53.2,Average
01HNCCSMF7BPJRJR0HE91JHWNX,Jaine Thwaite,Kinesthetic,1,92,22,10,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,50.0,Average
01HNCCSMF944KV41BFWGD7Y9E1,Sharity Cail,Kinesthetic,28,2,13,16,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,23.6,Poor
01HNCCSMFA321B0X0WJ7JMJQDP,Maggee Hiley,Kinesthetic,59,54,19,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,54.0,Average
01HNCCSMFCQYH7A84P1QYG2V6X,Joanie Donaldson,Kinesthetic,48,92,20,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,64.0,Average
01HNCCSMFD4R0C8AF0ZZJQVVJX,Dukie Honeyghan,Kinesthetic,62,76,19,2,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,63.6,Average
01HNCCSMFFJ8QRAVP4G3PM21GY,Mandi Goodding,Auditory,84,23,15,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,49.2,Poor
01HNCCSMFG7059HY61R6CDREVC,Henri Blacktin,Visual,78,55,19,17,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,67.60000000000001,Average
01HNCCSMFJ2MFSZ81BDYA5SAKY,Genny Ughetti,Visual,13,70,9,2,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,37.6,Poor
01HNCCSMFK67J08640ETDYBQY0,Alexander Espin,Visual,47,73,21,25,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,66.4,Average
01HNCCSMFNGY0SX2Y8ZF7N8SW2,Grace Rolfs,Visual,56,43,0,13,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,44.8,Poor
01HNCCSMFQC977RTXSEZX4T1B9,Geraldine Pietersen,Auditory,1,5,2,13,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,8.4,Poor
01HNCCSMFR3HFC2PRV0RN9NPC5,Sabina Letch,Kinesthetic,97,60,4,12,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,69.19999999999999,Average
01HNCCSMFT87N6NRGX1H7QGDMG,Keene Niblo,Visual,31,87,7,10,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,54.0,Average
01HNCCSMFVBD5QGQCG0PCZAMXK,Mahala Breewood,Kinesthetic,88,1,0,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,38.0,Poor
01HNCCSMFWAAW7FBEBNMAT4WTJ,Antonino Upjohn,Visual,22,45,22,12,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,40.400000000000006,Poor
01HNCCSMFYCF63M2W634S6Y31Z,Roxanne Hasselby,Auditory,1,49,18,24,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,36.8,Poor
01HNCCSMFZA8REEV4BFZ51RC2V,Virgie Harbour,Visual,37,87,11,22,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,62.8,Average
01HNCCSMG13G0VK1E7SRGEDZ37,Caddric De Lascy,Visual,48,47,16,23,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,53.6,Average
01HNCCSMG22427156BCTE26J2F,Timofei Sattin,Visual,79,69,5,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,61.2,Average
01HNCCSMG430T563RN807YDX58,Saree Shucksmith,Auditory,47,11,4,5,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,26.8,Poor
01HNCCSMG561WWYM5EZJ2Q3ZQT,Samuel McIlory,Auditory,83,81,17,6,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,74.8,Good
01HNCCSMG7H7SE4X0AWFG5Z36S,Trumaine Beesley,Kinesthetic,25,84,6,14,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,51.6,Average
01HNCCSMG8Y3GJA0MP8DGH6M5A,Bridget Weatherburn,Auditory,80,63,11,16,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,68.0,Average
01HNCCSMGABQ07Y2KAKZ1TT2BD,Scott Silversmidt,Auditory,84,7,0,2,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,37.2,Poor
01HNCCSMGBDCSFC228THQX1WVC,Izak Dutt,Kinesthetic,97,25,4,18,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,57.6,Average
01HNCCSMGDW9C4NW2JDHZCKATR,Lindie Boase,Visual,23,91,23,3,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,56.00000000000001,Average
01HNCCSMGEKQ9SHT94FF5RN94S,Arri Durdle,Visual,83,88,19,4,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,77.60000000000001,Good
01HNCCSMGGE2VRJDSDFZ6AZBC8,Karil Allsebrook,Visual,25,45,3,13,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,34.4,Poor
01HNCCSMGH5RNRRBXKG56C5WSR,Hollis Fitzjohn,Kinesthetic,30,75,25,13,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,57.2,Average
01HNCCSMGKEPQS82GT8MVZNH12,Sharia Diter,Auditory,20,63,3,18,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,41.6,Poor
01HNCCSMGN97T8VBB09XDPACJH,Etheline Slafford,Auditory,89,87,16,8,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,80.0,Good
01HNCCSMGQ7PMZGWQMT4CYVSHE,Don Gounot,Auditory,9,5,9,17,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,16.0,Poor
01HNCCSMGRSTW5XTXYBK03FBEY,Fleming Sinncock,Visual,74,20,11,18,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,49.2,Poor
01HNCCSMGT09N037FHA4T921RZ,Emilio Paz,Auditory,63,69,1,24,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,62.8,Average
01HNCCSMGVMH765JN1EKV262X5,Ludovico Brendeke,Visual,52,100,24,5,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,72.39999999999999,Good
01HNCCSMGXB438H3R67V6H37QT,Stacy Amphlett,Kinesthetic,88,13,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,40.8,Poor
01HNCCSMGYXD1ST4QJNC5BW6KM,Helsa Jessett,Visual,96,91,16,2,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,82.0,Good
01HNCCSMH01SCJ1FEYTZRX8DGK,Levon Camerati,Kinesthetic,74,75,10,21,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,72.0,Good
01HNCCSMH2NMPYJVY324VV1GE6,Milli Hullbrook,Auditory,38,43,17,11,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,43.6,Poor
01HNCCSMH3CJA6T01WCP60RVBJ,Norbie Bouchier,Auditory,79,81,10,10,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,72.0,Good
01HNCCSMH4C0GZQKARZ5KMPP76,Rafaelita Matyas,Visual,57,63,5,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,50.0,Average
01HNCCSMH686N186D9439YA3F0,Meryl Dumbrill,Visual,5,9,9,12,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,14.000000000000002,Poor
01HNCCSMH7BPKVWFSM8BEJ3GHV,Stephen Dauby,Kinesthetic,47,37,22,23,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,51.6,Average
01HNCCSMH9CKAHJQSYC6QHJFCM,Dare Vanichev,Visual,75,4,6,19,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,41.6,Poor
01HNCCSMHBKGZ5HHBAX5VP82FG,Vickie Summerscales,Visual,33,10,23,13,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,31.6,Poor
01HNCCSMHCXCPK8G6PN0BGFAEJ,Emmalynn Goddard,Visual,60,39,8,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,43.2,Poor
01HNCCSMHETK844X7ZBB372R5Q,Heather Casson,Visual,82,25,5,23,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,54.0,Average
01HNCCSMHFTHVYNVQDEFWG264Z,Honey Order,Kinesthetic,22,13,24,4,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,25.2,Poor
01HNCCSMHHD93PJXHVQ2GH9ZC3,Ameline Stedell,Auditory,63,36,15,23,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,54.8,Average
01HNCCSMHJJ2AJSW7D9J4QD953,Nick Burns,Auditory,91,90,11,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,77.2,Good
01HNCCSMHMQ8QNFCHKHHM6JQVJ,Georgie Chesher,Kinesthetic,79,85,19,16,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,79.60000000000001,Good
01HNCCSMHP581ZPREM4N6Q09D7,Gordy Hammor,Visual,72,36,7,17,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,52.8,Average
01HNCCSMHSQQ5BGH8KTNPS8ZDF,Renaud Causer,Auditory,94,93,1,25,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,85.2,Excellent
01HNCCSMHXRKHH3E1SVSCM8TYG,Orelie Sapsford,Kinesthetic,7,48,14,2,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,28.4,Poor
01HNCCSMJ0WC7HF7EBZWQEZZR8,Darelle Bunten,Kinesthetic,60,78,25,13,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,70.39999999999999,Good
01HNCCSMJ4REBW4YV6RVSAETGX,Tabor Thunderchief,Kinesthetic,54,78,2,8,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,56.8,Average
01HNCCSMJ7Z8447895EHRA621A,Verla Brouwer,Auditory,3,77,3,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,33.2,Poor
01HNCCSMJBR0F176NYSMTBARNX,Michel Castanyer,Auditory,12,13,1,4,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,12.0,Poor
01HNCCSMJEY5SJFXQC71E3KP5M,Catherina Filipic,Kinesthetic,62,30,11,16,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,47.6,Poor
01HNCCSMJHJWXG75KW6VY94WDD,Annmaria Slides,Kinesthetic,76,35,20,20,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,60.4,Average
01HNCCSMJM3986Y48G17PRNYKZ,Jennine Romand,Kinesthetic,46,17,9,20,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,36.8,Poor
01HNCCSMJRK8ST2MT393CNTF7N,Shandy Espinosa,Auditory,10,55,3,20,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,35.2,Poor
01HNCCSMJS6CWKFEBCDRXGG5KF,Marcille Darthe,Auditory,89,19,21,23,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,60.8,Average
01HNCCSMJV4T0Z19FGEKJZX6KQ,Gretta Huxstep,Visual,38,41,7,23,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,43.6,Poor
01HNCCSMJW5BK7KVD5Q0B4KKRW,Kittie Balchin,Auditory,0,4,10,8,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,8.799999999999999,Poor
01HNCCSMJYN42D725Z3BWCQJC6,Patrick Cholton,Kinesthetic,1,89,22,12,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,49.6,Poor
01HNCCSMK0WTAQJEHAGKZ1764P,Eloisa Given,Kinesthetic,20,15,2,9,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,18.4,Poor
01HNCCSMK35EMCN9A9Z0CSYEVE,Walker Scattergood,Visual,98,85,10,23,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,86.4,Excellent
01HNCCSMK4B3K5ARNP7RMJ3SDD,Alwyn Mation,Auditory,47,82,1,18,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,59.2,Average
01HNCCSMK6P24NXXKTRZG513NK,Valentine Degenhardt,Auditory,92,98,16,13,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,87.6,Excellent
01HNCCSMK7ZEMRF6BQ5443J9QV,Emogene Bramwell,Visual,63,77,14,11,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,66.0,Average
01HNCCSMKAA3P57HCKP902XCCM,Dennie Day,Kinesthetic,19,89,7,17,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,52.8,Average
